Local time,Open,High,Low,Close,Volume
01.07.2020 04:45:00.000 GMT-0300,9092,9093,9092,9092,0.0975
01.07.2020 04:46:00.000 GMT-0300,9087,9091,9087,9090,0.06
01.07.2020 04:47:00.000 GMT-0300,9090,9091,9090,9090,0.0975
01.07.2020 04:48:00.000 GMT-0300,9091,9091,9089,9090,0.16
01.07.2020 04:49:00.000 GMT-0300,9090,9090,9090,9090,0.0325
01.07.2020 04:50:00.000 GMT-0300,9090,9090,9089,9090,0.0625
01.07.2020 04:51:00.000 GMT-0300,9091,9092,9090,9091,0.11
01.07.2020 04:52:00.000 GMT-0300,9091,9091,9090,9091,0.055
01.07.2020 04:53:00.000 GMT-0300,9090,9090,9088,9088,0.085
01.07.2020 04:54:00.000 GMT-0300,9088,9090,9087,9090,0.1725
01.07.2020 04:55:00.000 GMT-0300,9090,9090,9088,9088,0.1125
01.07.2020 04:56:00.000 GMT-0300,9088,9090,9088,9090,0.065
01.07.2020 04:57:00.000 GMT-0300,9090,9090,9085,9087,0.055
01.07.2020 04:58:00.000 GMT-0300,9087,9087,9083,9085,0.7278
01.07.2020 04:59:00.000 GMT-0300,9085,9085,9080,9081,0.4425
01.07.2020 05:00:00.000 GMT-0300,9081,9083,9081,9083,0.4725
01.07.2020 05:01:00.000 GMT-0300,9082,9083,9082,9083,0.335
01.07.2020 05:02:00.000 GMT-0300,9083,9084,9082,9084,0.2
01.07.2020 05:03:00.000 GMT-0300,9084,9084,9082,9084,0.1875
01.07.2020 05:04:00.000 GMT-0300,9084,9087,9084,9086,0.5675
01.07.2020 05:05:00.000 GMT-0300,9086,9087,9086,9087,0.4875
01.07.2020 05:06:00.000 GMT-0300,9087,9087,9085,9087,0.42
01.07.2020 05:07:00.000 GMT-0300,9087,9089,9087,9089,0.315
01.07.2020 05:08:00.000 GMT-0300,9089,9092,9089,9092,0.6
01.07.2020 05:09:00.000 GMT-0300,9092,9094,9092,9094,0.5025
01.07.2020 05:10:00.000 GMT-0300,9095,9097,9095,9095,0.6225
01.07.2020 05:11:00.000 GMT-0300,9095,9096,9095,9096,0.48
01.07.2020 05:12:00.000 GMT-0300,9095,9097,9095,9096,0.345
01.07.2020 05:13:00.000 GMT-0300,9096,9097,9095,9096,0.5625
01.07.2020 05:14:00.000 GMT-0300,9096,9097,9096,9097,0.555
01.07.2020 05:15:00.000 GMT-0300,9097,9097,9095,9095,1.005
01.07.2020 05:16:00.000 GMT-0300,9096,9096,9093,9094,0.3975
01.07.2020 05:17:00.000 GMT-0300,9094,9096,9092,9094,0.7575
01.07.2020 05:18:00.000 GMT-0300,9093,9093,9091,9093,0.5625
01.07.2020 05:19:00.000 GMT-0300,9093,9095,9093,9095,0.345
01.07.2020 05:20:00.000 GMT-0300,9094,9096,9094,9095,0.3675
01.07.2020 05:21:00.000 GMT-0300,9095,9095,9094,9094,0.36
01.07.2020 05:22:00.000 GMT-0300,9094,9094,9094,9094,0.1725
01.07.2020 05:23:00.000 GMT-0300,9094,9105,9093,9102,1.275
01.07.2020 05:24:00.000 GMT-0300,9102,9111,9102,9111,1.11
01.07.2020 05:25:00.000 GMT-0300,9111,9120,9111,9114,0.9831
01.07.2020 05:26:00.000 GMT-0300,9114,9116,9113,9113,0.4352
01.07.2020 05:27:00.000 GMT-0300,9113,9114,9110,9112,0.0388
01.07.2020 05:28:00.000 GMT-0300,9111,9116,9111,9115,0.51
01.07.2020 05:29:00.000 GMT-0300,9115,9116,9114,9115,0.525
01.07.2020 05:30:00.000 GMT-0300,9115,9121,9115,9121,0.6825
01.07.2020 05:31:00.000 GMT-0300,9121,9121,9117,9117,0.7879
01.07.2020 05:32:00.000 GMT-0300,9117,9118,9113,9116,0.1081
01.07.2020 05:33:00.000 GMT-0300,9116,9117,9113,9114,0.3004
01.07.2020 05:34:00.000 GMT-0300,9114,9114,9113,9113,0.1652
01.07.2020 05:35:00.000 GMT-0300,9113,9119,9113,9119,0.3825
01.07.2020 05:36:00.000 GMT-0300,9119,9119,9119,9119,0.42
01.07.2020 05:37:00.000 GMT-0300,9119,9119,9119,9119,0.3625
01.07.2020 05:38:00.000 GMT-0300,9119,9120,9119,9119,0.465
01.07.2020 05:39:00.000 GMT-0300,9119,9122,9119,9121,0.3375
01.07.2020 05:40:00.000 GMT-0300,9120,9122,9119,9121,0.3
01.07.2020 05:41:00.000 GMT-0300,9121,9122,9121,9122,0.4575
01.07.2020 05:42:00.000 GMT-0300,9122,9129,9121,9124,0.4207
01.07.2020 05:43:00.000 GMT-0300,9123,9130,9123,9130,0.7125
01.07.2020 05:44:00.000 GMT-0300,9130,9131,9125,9125,0.72
01.07.2020 05:45:00.000 GMT-0300,9127,9132,9125,9132,0.7725
01.07.2020 05:46:00.000 GMT-0300,9132,9133,9132,9133,0.285
01.07.2020 05:47:00.000 GMT-0300,9133,9134,9133,9133,0.1294
01.07.2020 05:48:00.000 GMT-0300,9133,9133,9131,9131,0.1977
01.07.2020 05:49:00.000 GMT-0300,9131,9132,9130,9130,0.3525
01.07.2020 05:50:00.000 GMT-0300,9132,9132,9130,9130,0.3525
01.07.2020 05:51:00.000 GMT-0300,9130,9130,9125,9126,0.5401
01.07.2020 05:52:00.000 GMT-0300,9126,9126,9124,9124,0.1725
01.07.2020 05:53:00.000 GMT-0300,9124,9124,9122,9122,0.4275
01.07.2020 05:54:00.000 GMT-0300,9122,9122,9114,9115,0.668
01.07.2020 05:55:00.000 GMT-0300,9115,9115,9115,9115,0.1275
01.07.2020 05:56:00.000 GMT-0300,9117,9117,9115,9115,0.0326
01.07.2020 05:57:00.000 GMT-0300,9115,9115,9114,9115,0.2253
