,y+1
1605,2.6639999999999997
1606,2.576
1607,2.972
1608,3.202
1609,3.178
1610,3.19
1611,3.26
1612,3.262
1613,3.39
1614,3.5660000000000003
1615,3.668
1616,4.4639999999999995
1617,4.448
1618,3.698
1619,3.7119999999999997
1620,3.7319999999999998
1621,3.736
1622,3.66
1623,3.636
1624,3.62
1625,3.614
1626,3.59
1627,3.61
1628,3.616
1629,3.6439999999999997
1630,3.822
1631,3.5380000000000003
1632,3.5039999999999996
1633,3.682
1634,3.694
1635,3.6919999999999997
1636,3.7119999999999997
1637,3.628
1638,3.3739999999999997
1639,3.3680000000000003
1640,3.352
1641,3.35
1642,3.318
1643,3.324
1644,3.594
1645,3.798
1646,3.852
1647,3.832
1648,3.832
1649,3.75
1650,3.568
1651,3.4760000000000004
1652,3.3160000000000003
1653,3.2739999999999996
1654,3.2439999999999998
1655,3.576
1656,3.898
1657,3.638
1658,3.2039999999999997
1659,3.0780000000000003
1660,3.076
1661,3.0860000000000003
1662,3.002
1663,2.992
1664,3.0380000000000003
1665,3.088
1666,3.116
1667,3.108
1668,3.096
1669,3.0860000000000003
1670,3.076
1671,3.08
1672,3.08
1673,3.096
1674,3.13
1675,3.074
1676,3.1180000000000003
1677,3.082
1678,3.068
1679,3.0839999999999996
1680,3.2680000000000002
1681,3.3160000000000003
1682,3.07
1683,3.1
1684,3.0980000000000003
1685,3.096
1686,3.1
1687,3.094
1688,3.1
1689,3.1180000000000003
1690,3.1239999999999997
1691,3.108
1692,3.14
1693,3.138
1694,3.12
1695,3.102
1696,3.0980000000000003
1697,3.0860000000000003
1698,3.08
1699,2.9960000000000004
1700,2.9139999999999997
1701,2.986
1702,2.84
1703,2.824
1704,2.97
1705,2.91
1706,2.7539999999999996
1707,2.588
1708,2.6239999999999997
1709,2.614
1710,2.6180000000000003
1711,2.6039999999999996
1712,2.596
1713,2.588
1714,2.694
1715,2.69
1716,2.682
1717,2.688
1718,2.688
1719,2.688
1720,2.694
1721,2.69
1722,2.688
1723,2.156
1724,1.65
1725,1.652
1726,1.646
1727,1.656
1728,1.6480000000000001
1729,1.6540000000000001
1730,1.632
1731,1.632
1732,1.676
1733,1.714
1734,1.72
1735,1.726
1736,1.722
1737,1.6540000000000001
1738,1.662
1739,1.66
1740,1.66
1741,1.6540000000000001
1742,1.652
1743,1.5819999999999999
1744,1.5819999999999999
1745,1.5419999999999998
1746,1.6780000000000002
1747,1.7480000000000002
1748,1.7519999999999998
1749,1.91
